@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,contact-lenses,german_credit,pima_diabetes,Glass,iris,soybean,unbalanced,vote}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.lazy.XNNAutoKClassifier}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 9 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-k 1 -K 10'}
@attribute Key_Scheme_version_ID {-3080186098777067172,-8032992518269935108}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

breast-cancer,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,15,14,0,51.724138,48.275862,0,-0.28481,0.508973,0.664414,120.292483,143.558242,25.930469,100.399762,-74.469293,0.894154,3.462061,-2.567907,-7.490737,-0.258301,-28.887782,0.75,15,1,9,0,0,0.25,5,0.625,0.75,0.681818,-0.306186,0.422222,0.686433,0.517241,0.767241,0.232759,0.482759,0.431034,0.517241,0.470219,-0.306186,0.422222,0.565444,0.340909,0.517241,0,0.001,0,0,0,0,32930,31137,6285,62.068966,63.793103,?
breast-cancer,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,23,6,0,79.310345,20.689655,0,0.408163,0.250763,0.434427,59.266324,93.865455,25.930469,40.514932,-14.584463,0.894154,1.397067,-0.502913,9.862468,0.340085,38.034285,1,20,0.666667,6,0.333333,3,0,0,0.769231,1,0.869565,0.50637,0.725,0.815746,0.793103,0.45977,0.54023,0.206897,0.840849,0.793103,0.754873,0.50637,0.725,0.766645,0.684783,0.793103,0,0.001,0,0,0,0,32922,31137,6285,86.206897,63.793103,?
breast-cancer,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,20,9,0,68.965517,31.034483,0,0.201835,0.343929,0.543505,81.285406,117.433672,25.930469,65.048433,-39.117964,0.894154,2.243049,-1.348895,3.860813,0.133131,14.8891,0.85,17,0.666667,6,0.333333,3,0.15,3,0.73913,0.85,0.790698,0.209381,0.619444,0.78293,0.689655,0.506322,0.493678,0.310345,0.664918,0.689655,0.669447,0.209381,0.619444,0.683939,0.595349,0.689655,0,0.001,0,0,0,0,32922,31137,6285,75.862069,63.793103,?
breast-cancer,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,20,9,0,68.965517,31.034483,0,0.144262,0.356505,0.548966,84.25766,118.613542,25.930469,68.209406,-42.278937,0.894154,2.352048,-1.457894,2.85356,0.098399,11.00466,0.9,18,0.777778,7,0.222222,2,0.1,2,0.72,0.9,0.8,0.163978,0.5,0.73252,0.689655,0.567433,0.432567,0.310345,0.651724,0.689655,0.647215,0.163978,0.5,0.614386,0.553846,0.689655,0.001,0,0,0,0,0,32938,31137,6285,75.862069,63.793103,?
breast-cancer,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,23,6,0,79.310345,20.689655,0,0.408163,0.296478,0.482709,70.070665,104.297693,25.930469,47.545811,-21.615342,0.894154,1.639511,-0.745357,6.320665,0.217954,24.375436,1,20,0.666667,6,0.333333,3,0,0,0.769231,1,0.869565,0.50637,0.694444,0.822447,0.793103,0.45977,0.54023,0.206897,0.840849,0.793103,0.754873,0.50637,0.694444,0.753445,0.684783,0.793103,0,0.001,0,0,0,0,32922,31137,6285,82.758621,63.793103,?
breast-cancer,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,257,29,21,8,0,72.413793,27.586207,0,0.183099,0.333455,0.496279,81.15946,110.85991,24.707459,51.939962,-27.232503,0.851981,1.791033,-0.939052,3.299185,0.113765,13.352993,0.904762,19,0.75,6,0.25,2,0.095238,2,0.76,0.904762,0.826087,0.200594,0.60119,0.789274,0.724138,0.569376,0.430624,0.275862,0.688276,0.724138,0.690155,0.200594,0.60119,0.677927,0.57971,0.724138,0,0.001,0,0,0,0,32962,31137,6285,82.758621,70.689655,?
breast-cancer,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,258,28,23,5,0,82.142857,17.857143,0,0.507042,0.206723,0.416112,49.898753,92.064253,24.187188,39.312468,-15.12528,0.863828,1.404017,-0.540189,11.207528,0.400269,46.336632,0.95,19,0.5,4,0.5,4,0.05,1,0.826087,0.95,0.883721,0.530791,0.7125,0.834659,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.530791,0.7125,0.779462,0.749553,0.821429,0,0.001,0,0,0,0,33031,31246,6176,85.714286,57.142857,?
breast-cancer,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,258,28,18,10,0,64.285714,35.714286,0,-0.029412,0.383178,0.555776,92.491223,122.964879,24.187188,64.50046,-40.313272,0.863828,2.303588,-1.43976,0.503663,0.017988,2.082355,0.85,17,0.875,7,0.125,1,0.15,3,0.708333,0.85,0.772727,-0.032275,0.603125,0.789705,0.642857,0.667857,0.332143,0.357143,0.577381,0.642857,0.599567,-0.032275,0.603125,0.673151,0.469697,0.642857,0,0.001,0,0,0,0,33031,31246,6176,75,66.071429,?
breast-cancer,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,258,28,21,7,0,75,25,0,0.363636,0.32699,0.495937,78.92857,109.725562,24.187188,49.980313,-25.793125,0.863828,1.785011,-0.921183,3.666306,0.13094,15.158051,0.85,17,0.5,4,0.5,4,0.15,3,0.809524,0.85,0.829268,0.365148,0.625,0.775278,0.75,0.4,0.6,0.25,0.741497,0.75,0.744715,0.365148,0.625,0.697726,0.681301,0.75,0.001,0,0,0,0,0,33031,31246,6176,82.142857,67.857143,?
