@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,contact-lenses,german_credit,pima_diabetes,Glass,iris,soybean,unbalanced}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.XNNClassifier,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 3','-K 5','-K 7','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {4093840036403736411,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

breast-cancer,1,1,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,20,9,0,68.965517,31.034483,0,0,0.406888,0.516468,96.165463,111.591799,25.930469,3248.851295,-3222.920826,0.894154,112.029355,-111.135201,-2.903554,-0.100123,-11.19746,1,20,1,9,0,0,0,0,0.689655,1,0.816327,?,0.344444,0.622708,0.689655,0.689655,0.310345,0.310345,?,0.689655,?,?,0.347031,0.513934,?,0.689655,0.006,0,0,0,0,0,38100,31137,6285,100,100,?
breast-cancer,1,2,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,21,8,0,72.413793,27.586207,0,0.147059,0.312753,0.419057,73.917085,90.544531,25.930469,1096.882702,-1070.952234,0.894154,37.823541,-36.929387,3.71371,0.128059,14.321801,1,20,0.888889,8,0.111111,1,0,0,0.714286,1,0.833333,0.281718,0.805556,0.885242,0.724138,0.613027,0.386973,0.275862,0.802956,0.724138,0.636782,0.281718,0.798659,0.839545,0.516667,0.724138,0.006,0,0,0,0,0,38100,31137,6285,100,100,?
breast-cancer,1,3,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,21,8,0,72.413793,27.586207,0,0.265823,0.321927,0.452999,76.085459,97.878383,25.930469,2170.518897,-2144.588429,0.894154,74.845479,-73.951325,2.923439,0.100808,11.274148,0.9,18,0.666667,6,0.333333,3,0.1,2,0.75,0.9,0.818182,0.285774,0.7,0.814271,0.724138,0.490805,0.509195,0.275862,0.703448,0.724138,0.697268,0.285774,0.696552,0.737171,0.623377,0.724138,0.006,0,0,0,0,0,38100,31137,6285,100,100,?
breast-cancer,1,4,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,21,8,0,72.413793,27.586207,0,0.147059,0.378141,0.499765,89.371253,107.982816,25.930469,1110.178647,-1084.248178,0.894154,38.282022,-37.387868,-0.675997,-0.02331,-2.60696,1,20,0.888889,8,0.111111,1,0,0,0.714286,1,0.833333,0.281718,0.466667,0.691105,0.724138,0.613027,0.386973,0.275862,0.802956,0.724138,0.636782,0.281718,0.46408,0.596998,0.516667,0.724138,0.006,0.001,0,0,0,0,38100,31137,6285,100,100,?
breast-cancer,1,5,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,20,9,0,68.965517,31.034483,0,0.144262,0.352218,0.476149,83.244531,102.880144,25.930469,35.864863,-9.934394,0.894154,1.236719,-0.342565,0.921575,0.031778,3.554025,0.9,18,0.777778,7,0.222222,2,0.1,2,0.72,0.9,0.8,0.163978,0.677778,0.864836,0.689655,0.567433,0.432567,0.310345,0.651724,0.689655,0.647215,0.163978,0.677778,0.755676,0.553846,0.689655,0.006,0,0.015625,0,15.625,0,38100,31137,6285,100,100,?
breast-cancer,1,6,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,257,29,21,8,0,72.413793,27.586207,0,0.100775,0.340603,0.442327,82.899181,98.808158,24.707459,2169.643112,-2144.935653,0.851981,74.81528,-73.963298,0.412427,0.014222,1.669242,0.952381,20,0.875,7,0.125,1,0.047619,1,0.740741,0.952381,0.833333,0.136487,0.657738,0.80396,0.724138,0.646757,0.353243,0.275862,0.67433,0.724138,0.658621,0.136487,0.655275,0.724736,0.516667,0.724138,0.005,0,0,0,0,0,38100,31137,6285,100,100,?
breast-cancer,1,7,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,258,28,24,4,0,85.714286,14.285714,0,0.588235,0.276955,0.4015,66.851181,88.831357,24.187188,2164.922302,-2140.735113,0.863828,77.318654,-76.454825,5.221919,0.186497,21.589609,1,20,0.5,4,0.5,4,0,0,0.833333,1,0.909091,0.645497,0.69375,0.805737,0.857143,0.357143,0.642857,0.142857,0.880952,0.857143,0.839827,0.645497,0.695536,0.767631,0.787879,0.857143,0.005,0.001,0.015625,0,15.625,0,38235,31246,6176,100,100,?
breast-cancer,1,8,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,258,28,19,9,0,67.857143,32.142857,0,0.030769,0.339297,0.430784,81.899274,95.310515,24.187188,2166.056336,-2141.869148,0.863828,77.359155,-76.495327,0.683168,0.024399,2.824505,0.9,18,0.875,7,0.125,1,0.1,2,0.72,0.9,0.8,0.036515,0.64375,0.753912,0.678571,0.653571,0.346429,0.321429,0.609524,0.678571,0.623377,0.036515,0.645536,0.688099,0.490909,0.678571,0.005,0.001,0,0,0,0,38235,31246,6176,100,100,?
breast-cancer,1,9,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,258,28,19,9,0,67.857143,32.142857,0,0.112676,0.395935,0.482129,95.570604,106.670488,24.187188,1103.321135,-1079.133947,0.863828,39.404326,-38.540498,-2.664074,-0.095145,-11.014401,0.85,17,0.75,6,0.25,2,0.15,3,0.73913,0.85,0.790698,0.117954,0.55625,0.731824,0.678571,0.578571,0.421429,0.321429,0.642236,0.678571,0.652696,0.117954,0.558036,0.651137,0.549195,0.678571,0.005,0,0,0,0,0,38235,31246,6176,100,100,?
