@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,contact-lenses,german_credit,pima_diabetes,Glass,iris,soybean,unbalanced}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SimpleLogistic,weka.classifiers.meta.AttributeSelectedClassifier}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','','-I 0 -M 500 -H 50 -W 0.0','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.bayes.NaiveBayes','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0','-E \"weka.attributeSelection.XNNSubsetEval \" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.XNNSubsetEval \" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.XNNSubsetEval \" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.XNNSubsetEval \" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.bayes.NaiveBayes','-E \"weka.attributeSelection.XNNSubsetEval \" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0'}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,5995231201785697655,7397710626304705059,-1151805453487947577}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 27\nSize of the tree: 32\n','Number of leaves: 16\nSize of the tree: 19\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 40\nSize of the tree: 60\n','Number of leaves: 84\nSize of the tree: 125\n','Number of leaves: 81\nSize of the tree: 111\n','Number of leaves: 67\nSize of the tree: 94\n','Number of leaves: 81\nSize of the tree: 118\n','Number of leaves: 114\nSize of the tree: 152\n','Number of leaves: 92\nSize of the tree: 127\n','Number of leaves: 66\nSize of the tree: 96\n','Number of leaves: 121\nSize of the tree: 164\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 64\nSize of the tree: 96\n','Number of leaves: 62\nSize of the tree: 95\n','Number of leaves: 58\nSize of the tree: 88\n','Number of leaves: 58\nSize of the tree: 89\n','Number of leaves: 66\nSize of the tree: 101\n','Number of leaves: 55\nSize of the tree: 84\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 55\nSize of the tree: 86\n','Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

breast-cancer,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,20,9,0,68.965517,31.034483,0,0.077739,0.391671,0.473298,92.568993,102.264163,25.930469,27.11096,-1.180491,0.894154,0.934861,-0.040707,1.763336,0.060805,6.800248,0.95,19,0.888889,8,0.111111,1,0.05,1,0.703704,0.95,0.808511,0.111573,0.463889,0.673372,0.689655,0.628544,0.371456,0.310345,0.640485,0.689655,0.61402,0.111573,0.463889,0.567248,0.495164,0.689655,0.001,0,0,0,0,0,10204,31137,6285,100,100,'Number of leaves: 27\nSize of the tree: 32\n',32,27,27,?,?,?,?,?
breast-cancer,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,22,7,0,75.862069,24.137931,0,0.334426,0.352689,0.42662,83.355731,92.178728,25.930469,22.994493,2.935976,0.894154,0.792914,0.101241,4.678658,0.161333,18.04309,0.95,19,0.666667,6,0.333333,3,0.05,1,0.76,0.95,0.844444,0.380132,0.683333,0.782452,0.758621,0.475287,0.524713,0.241379,0.756897,0.758621,0.725612,0.380132,0.683333,0.695591,0.652991,0.758621,0,0,0,0,0,0,7946,31137,6285,100,100,'Number of leaves: 16\nSize of the tree: 19\n',19,16,16,?,?,?,?,?
breast-cancer,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,25,4,0,86.206897,13.793103,0,0.632911,0.323514,0.368203,76.46041,79.55662,25.930469,18.799883,7.130586,0.894154,0.648272,0.245882,7.852843,0.270788,30.284231,1,20,0.444444,4,0.555556,5,0,0,0.833333,1,0.909091,0.680414,0.766667,0.826449,0.862069,0.306513,0.693487,0.137931,0.885057,0.862069,0.848634,0.680414,0.766667,0.785185,0.811688,0.862069,0.001,0,0,0,0,0,5712,31137,6285,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,20,9,0,68.965517,31.034483,0,0.077739,0.399015,0.469005,94.304695,101.336734,25.930469,26.57169,-0.641221,0.894154,0.916265,-0.022111,1.354927,0.046722,5.225232,0.95,19,0.888889,8,0.111111,1,0.05,1,0.703704,0.95,0.808511,0.111573,0.538889,0.706936,0.689655,0.628544,0.371456,0.310345,0.640485,0.689655,0.61402,0.111573,0.538889,0.593488,0.495164,0.689655,0.001,0,0,0,0,0,5712,31137,6285,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,21,8,0,72.413793,27.586207,0,0.147059,0.382889,0.451102,90.493285,97.468458,25.930469,25.042212,0.888257,0.894154,0.863525,0.03063,2.566289,0.088493,9.896808,1,20,0.888889,8,0.111111,1,0,0,0.714286,1,0.833333,0.281718,0.561111,0.718899,0.724138,0.613027,0.386973,0.275862,0.802956,0.724138,0.636782,0.281718,0.561111,0.622428,0.516667,0.724138,0.001,0,0,0,0,0,5712,31137,6285,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,257,29,22,7,0,75.862069,24.137931,0,0.171429,0.367581,0.426262,89.465402,95.219428,24.707459,22.970081,1.737378,0.851981,0.792072,0.05991,2.907143,0.100246,11.766257,1,21,0.875,7,0.125,1,0,0,0.75,1,0.857143,0.306186,0.604167,0.768398,0.758621,0.633621,0.366379,0.241379,0.818966,0.758621,0.681992,0.306186,0.604167,0.668028,0.539683,0.758621,0.001,0,0,0,0,0,5712,31137,6285,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,258,28,23,5,0,82.142857,17.857143,0,0.507042,0.34322,0.395288,82.846128,87.457042,24.187188,19.974711,4.212477,0.863828,0.713383,0.150446,4.97309,0.17761,20.560842,0.95,19,0.5,4,0.5,4,0.05,1,0.826087,0.95,0.883721,0.530791,0.6875,0.798837,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.530791,0.6875,0.7257,0.749553,0.821429,0,0,0,0,0,0,5712,31246,6176,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,258,28,22,6,0,78.571429,21.428571,0,0.322581,0.355175,0.409084,85.731944,90.509308,24.187188,20.886881,3.300307,0.863828,0.74596,0.117868,4.139814,0.14785,17.11573,1,20,0.75,6,0.25,2,0,0,0.769231,1,0.869565,0.438529,0.71875,0.817308,0.785714,0.535714,0.464286,0.214286,0.835165,0.785714,0.735404,0.438529,0.71875,0.739403,0.634783,0.785714,0.001,0,0,0,0,0,5712,31246,6176,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,258,28,20,8,0,71.428571,28.571429,0,0.176471,0.391756,0.462412,94.561869,102.308111,24.187188,25.21888,-1.031692,0.863828,0.900674,-0.036846,1.075804,0.038422,4.447824,0.9,18,0.75,6,0.25,2,0.1,2,0.75,0.9,0.818182,0.193649,0.5375,0.727703,0.714286,0.564286,0.435714,0.285714,0.678571,0.714286,0.679654,0.193649,0.5375,0.616727,0.575758,0.714286,0,0,0,0,0,0,5712,31246,6176,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
breast-cancer,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,258,28,21,7,0,75,25,0,0.309859,0.368408,0.430068,88.926162,95.152001,24.187188,22.478219,1.70897,0.863828,0.802794,0.061035,2.967047,0.105966,12.267019,0.9,18,0.625,5,0.375,3,0.1,2,0.782609,0.9,0.837209,0.324372,0.71875,0.824719,0.75,0.475,0.525,0.25,0.730435,0.75,0.729875,0.324372,0.71875,0.724233,0.649374,0.75,0,0,0,0,0,0,5712,31246,6176,100,100,'Number of leaves: 4\nSize of the tree: 6\n',6,4,4,?,?,?,?,?
contact-lenses,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,21,3,3,0,0,100,0,0,1,0.044444,0.094281,10,18.313142,5.526069,0.321928,5.204141,1.842023,0.107309,1.734714,5.204141,1.734714,94.174374,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4645,3176,1934,100,44.444444,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
contact-lenses,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,21,3,3,0,0,100,0,0,1,0.133333,0.210819,30,40.949431,5.526069,1.058894,4.467175,1.842023,0.352965,1.489058,4.467175,1.489058,80.83821,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4241,3176,1934,100,55.555556,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3,?,?,?,?,?
